name,department,size
外交管理事务,外交,97.3
驻外机构,外交,105.3
对外援助,外交,115.7
国际组织,外交,223.3
对外合作与交流,外交,98.9
武装警察,公共安全,103.4
公安,公共安全,99.4
检察,公共安全,64.8
法院,公共安全,137.1
司法,公共安全,98.3
缉私警察,公共安全,109.8
国防支出,国防支出,8868.98
教育管理事务,教育,1.81
普通教育,教育,1144.49
职业教育,教育,4.36
广播电视教育,教育,0.75
留学教育,教育,52.5
进修及培训,教育,24.38
其他教育支出,教育,63.22
科学技术管理事务,科学技术,7.35
基础研究,科学技术,477.63
应用研究,科学技术,1498.47
技术研究与开发,科学技术,120.85
科技条件与服务,科学技术,58.64
社会科学,科学技术,42.39
科学技术普及,科学技术,19.16
科技交流与合作,科学技术,23.27
文化,文化体育与传媒,44.43
文物,文化体育与传媒,15.77
体育,文化体育与传媒,18.27
广播影视,文化体育与传媒,61.42
新闻出版,文化体育与传媒,64.57
其他文化体育与传媒支出,文化体育与传媒,44.75
人力资源和社会保障管理事务,社会保障和就业,4.31
民政管理事务,社会保障和就业,5.5
财政对社会保险基金的补助,社会保障和就业,117.93
补充全国社会保障基金,社会保障和就业,200
行政事业单位离退休,社会保障和就业,381.5
就业补助,社会保障和就业,6.55
抚恤,社会保障和就业,2
社会福利,社会保障和就业,0.53
残疾人事业,社会保障和就业,3.2
自然灾害生活救助,社会保障和就业,1.35
红十字事业,社会保障和就业,0.48
最低生活保障,社会保障和就业,4.74
临时救助,社会保障和就业,1.06
其他生活救助,社会保障和就业,0.01
其他社会保障和就业支出,社会保障和就业,0.14
医疗卫生与计划生育管理事务,医疗卫生与计划生育,4.74
公立医院,医疗卫生与计划生育,30.2
基层医疗卫生机构,医疗卫生与计划生育,0.49
公共卫生,医疗卫生与计划生育,10.64
医疗保障,医疗卫生与计划生育,47.09
中医药,医疗卫生与计划生育,0.58
计划生育事务,医疗卫生与计划生育,3.29
食品和药品监督管理事务,医疗卫生与计划生育,11.53
其他医疗卫生与计划生育支出,医疗卫生与计划生育,1.63
环境保护管理事务,节能环保支出,4.26
环境监测与监察,节能环保支出,4.27
污染防治,节能环保支出,0.9
自然生态保护,节能环保支出,1.1
天然林保护,节能环保支出,19.06
退耕还林,节能环保支出,3.41
能源节约利用,节能环保支出,55.66
污染减排,节能环保支出,6.47
可再生能源,节能环保支出,3.58
循环经济,节能环保支出,0.04
能源管理事务,节能环保支出,122.5
其他节能环保支出,节能环保支出,70
城乡社区管理事务,城乡社区,3.17
城乡社区规划与管理,城乡社区,0.28
城乡社区公共设施,城乡社区,1.38
农业,农林水,362.03
林业,农林水,29.49
水利,农林水,100.83
南水北调,农林水,37.96
扶贫,农林水,6.73
农业综合开发,农林水,22.78
农村综合改革,农林水,7.8
目标价格补贴,农林水,70.72
其他农林水支出,农林水,22.28
公路水路运输,交通运输,156.94
铁路运输,交通运输,324.44
民用航空运输,交通运输,37.15
邮政业支出,交通运输,75.78
车辆购置税支出,交通运输,212.58
资源勘探开发,资源勘探信息,13.39
制造业,资源勘探信息,149.24
建筑业,资源勘探信息,0.04
工业和信息产业监管,资源勘探信息,48.58
安全生产监管,资源勘探信息,16.5
国有资产监管,资源勘探信息,8.33
支持中小企业发展和管理支出,资源勘探信息,45.73
其他资源勘探信息等支出,资源勘探信息,15.03
商业流通事务,商业服务业,6.67
旅游业管理与服务支出,商业服务业,2.13
涉外发展服务支出,商业服务业,11.14
其他商业服务业等支出,商业服务业,0.5
金融部门行政支出,金融,57.27
金融部门监管支出,金融,11.45
金融发展支出,金融,25
其他金融支出,金融,155.61
国土资源事务,国土海洋气象,114.85
海洋管理事务,国土海洋气象,62.72
测绘事务,国土海洋气象,9.21
地震事务,国土海洋气象,19.46
气象事务,国土海洋气象,100.16
保障性安居工程支出,住房保障,26.17
住房改革支出,住房保障,329.37
粮油事务,粮油物资储备,88.2
物资事务,粮油物资储备,13.31
粮油储备,粮油物资储备,910.07
国内债务付息,国债还本付息,2941
国外债务付息,国债还本付息,22.01
国内外债务发行,国债还本付息,31.37
其他支出,其他,612.17
